0.188857	0.001168	-0.140762	-0.263067	0.049097	0.015305	-0.145087	-0.090901	0.093095	-0.293246	-0.133030	0.309652	0.185051	-0.393230	-0.159979	0.264229	-0.041357	-0.010677	0.071700	-0.032470	0.016164	-0.065226	-0.269403	0.023446	-0.033734	-0.053404	-0.144924	0.032444	-0.089601	0.197370	-0.277288	0.450316	-0.036345	-0.230981	0.159271	0.055480	0.257864	0.047533	-0.255815	-0.125957	0.188920	-0.199959	0.601341	0.116609	-0.048109	-0.288092	-0.015455	-0.451807	0.122104	-0.067392	0.235810	0.001978	-0.046328	0.009789	-0.041187	0.451353	0.403225	0.229863	0.170634	0.075310	-0.262326	0.254274	0.079226	0.484861	0.151301	-0.373241	0.123860	-0.018013	0.262795	-0.023426	-0.093180	-0.297039	0.166154	0.239746	-0.321607	0.204097	-0.064874	0.115935	0.157603	0.031599	0.044353	-0.033484	0.149985	0.197727	0.132006	-0.157913	-0.020789	-0.400251	-0.146509	-0.176966	-0.303966	-0.135868	0.121778	-0.051066	0.201010	0.018615	-0.353210	-0.260144	-0.146569	-0.152402	0.450626	0.070443	0.016689	0.019592	0.051549	0.154811	-0.336269	-0.093895	0.239390	0.356638	0.213211	-0.356055	0.312334	-0.122119	0.170755	0.128200	0.293163	-0.060193	0.035347	0.078211	-0.182039	0.254090	0.285705	0.273074	0.155530	0.595508	-0.137588	-0.155023
0.596655	0.007202	-0.214234	-0.186335	0.368588	0.261105	0.389134	-0.089533	0.264277	-0.389731	0.043214	-0.032875	-0.407088	-0.178655	-0.068715	-0.207639	-0.109463	-0.394592	-0.387127	-0.099475	-0.061056	0.106951	-0.255404	0.211591	0.098612	0.172056	-0.002118	0.274030	-0.317162	0.148173	-0.579051	-0.328193	0.166901	-0.058490	0.358401	0.212520	-0.166139	-0.356034	-0.186001	-0.210646	-0.267377	-0.548192	0.081030	0.291792	-0.421060	0.218672	-0.160565	-0.107981	0.008068	0.193629	0.281389	0.215742	0.227015	-0.269850	-0.098650	0.508157	0.580297	-0.410655	0.012425	0.111299	-0.026673	0.330888	-0.002257	0.182658	0.549180	0.159741	0.256900	0.034715	-0.061480	0.209818	-0.030824	0.534875	-0.406842	0.260878	-0.065244	-0.484637	-0.368615	0.165381	-0.183930	0.056354	0.376947	0.498261	-0.104163	0.143320	0.185019	0.076079	0.011125	-0.402274	0.127076	0.014871	-0.174191	-0.244078	0.272906	0.173356	-0.326767	0.585837	-0.166667	-0.058036	0.242578	-0.037682	0.530713	-0.138441	0.345382	0.328332	-0.366489	0.505644	-0.641193	-0.180001	0.458680	-0.042202	-0.014282	-0.211158	0.129969	-0.383780	-0.192942	0.674229	-0.164711	-0.090913	-0.755779	0.128093	0.359361	0.193104	0.294771	-0.045262	-0.104818	0.206885	0.313187	-0.004298
-0.026335	-0.253543	0.068923	-0.148183	-0.157857	-0.015512	-0.116375	0.086647	0.066877	-0.053686	-0.021820	0.485411	0.086618	-0.598247	-0.092272	0.203455	0.009674	0.328455	-0.118713	-0.021803	0.128340	0.393342	0.032371	0.092453	0.029237	-0.213843	-0.134123	0.244023	0.001281	0.008820	0.320659	0.020618	0.254730	0.046672	-0.292493	0.133869	0.200171	0.116552	-0.229646	0.038327	0.070602	0.225283	0.003075	0.188435	-0.011546	-0.197184	-0.312438	-0.034410	0.113326	0.160240	0.597124	0.065493	0.249009	0.046145	0.083820	-0.097294	0.252088	-0.308927	0.103772	-0.307166	-0.113567	-0.019406	0.060859	-0.071746	-0.071113	-0.057190	0.274528	-0.059787	0.038658	0.430012	-0.038633	-0.137159	-0.366218	0.272452	-0.147090	-0.098262	-0.075979	0.040885	-0.420146	-0.068970	0.045410	0.200470	-0.060229	0.566758	-0.173439	-0.566804	0.008390	-0.370334	0.041656	-0.007049	0.270273	0.056519	-0.097964	-0.126307	-0.087526	0.290035	-0.569055	0.362052	0.157247	-0.017048	-0.068872	-0.009258	-0.025799	-0.139913	0.312763	-0.115116	-0.371623	0.012842	-0.209036	0.155916	-0.046160	0.169103	0.317312	0.075759	-0.265519	-0.121617	-0.155346	-0.013653	-0.349056	-0.146807	0.236752	0.417514	0.354817	-0.247738	0.365167	0.132358	-0.220551	0.225446
0.156914	0.232237	0.048621	-0.032037	-0.056979	0.090406	-0.085902	0.026657	-0.009078	0.117334	0.124980	0.420254	0.102661	-0.109188	0.369913	-0.121250	0.264199	-0.004813	0.004125	-0.032241	0.126025	-0.065658	-0.128398	0.177953	0.421552	-0.034060	-0.024814	-0.209415	-0.053253	0.033792	-0.408238	-0.210647	-0.110889	-0.243834	-0.022399	0.044326	-0.043452	0.236475	-0.025948	0.234414	-0.124528	-0.066193	0.194078	-0.114532	-0.290398	0.148332	0.004251	0.168620	-0.061537	-0.146816	0.222749	-0.045179	-0.074959	0.087002	-0.018596	-0.171534	0.197011	0.014268	0.098757	0.060681	0.193933	-0.004317	-0.068067	0.439668	0.338305	-0.323217	0.314395	0.039188	0.076818	-0.254980	0.208541	-0.286287	0.043837	-0.095003	0.004062	-0.031939	-0.006327	0.017179	-0.112173	0.322846	0.126437	0.220192	-0.050455	0.438081	0.039273	0.100132	-0.316506	0.114894	0.111356	0.335838	-0.130330	0.329633	0.138746	-0.049115	0.250014	-0.158210	-0.295007	-0.031081	0.098643	-0.010001	0.033901	-0.240262	0.085391	-0.341065	0.129964	0.071895	-0.047408	-0.048128	0.030360	0.094875	0.073579	0.161579	-0.068188	-0.020449	-0.203533	0.132918	-0.175263	-0.023988	-0.136748	-0.153869	0.106256	0.030553	0.073875	0.089084	0.093073	-0.040789	-0.084643	0.223455
-0.348406	-0.281248	-0.291853	0.198198	0.003274	-0.164027	0.072098	-0.107359	-0.057988	-0.166477	0.078787	0.270492	-0.206064	-0.149320	-0.103508	-0.129869	0.066806	0.199672	-0.331123	0.325225	0.147237	0.068053	0.135921	-0.378818	0.259570	-0.235226	-0.154269	0.087442	-0.199182	-0.056475	-0.134822	0.079000	0.200996	-0.227699	-0.227161	0.197082	0.282237	-0.045056	0.030579	-0.009044	-0.092088	-0.237150	0.364224	0.336386	-0.369427	0.165611	-0.263942	0.087841	0.205548	-0.232283	0.198241	-0.139630	0.185306	0.278892	-0.181851	-0.077521	0.382022	-0.070436	-0.069956	0.204838	-0.180467	-0.163149	-0.142812	0.279822	0.065930	-0.155754	0.399090	0.226580	-0.142808	-0.306523	0.061134	0.127889	-0.332449	-0.016797	-0.187510	-0.275235	0.003992	-0.219006	0.168844	0.245672	-0.036871	0.435021	0.051186	-0.017127	-0.443798	-0.038684	0.000906	-0.083549	0.200384	0.158531	0.022255	-0.133319	0.172681	0.017618	0.245351	-0.075893	0.050698	0.107679	-0.280320	0.043253	0.020437	-0.014585	-0.000000	-0.047139	-0.024128	0.141408	0.098082	0.214043	0.219898	0.132808	-0.037262	-0.026023	-0.035824	-0.211417	-0.031841	-0.061437	-0.294714	-0.064334	0.180652	-0.102102	-0.125784	-0.121106	0.040401	-0.265562	0.021310	-0.078101	0.108312	0.168334
-0.134095	-0.385926	-0.150091	0.129516	-0.202702	0.154737	-0.042426	0.307825	0.156546	0.113205	0.158544	0.205904	0.151916	0.133033	-0.196536	-0.096748	0.110306	0.225570	-0.018079	0.027183	-0.151675	0.301385	-0.189422	-0.131700	-0.075840	0.291574	-0.170850	-0.103385	-0.134715	0.188932	-0.309829	0.223971	0.127512	-0.120115	0.271063	0.330253	-0.195118	-0.542820	0.314886	0.095938	0.058339	-0.094943	0.171162	-0.139154	-0.208595	-0.280384	0.105817	-0.296548	0.359632	-0.033487	0.057757	0.218390	0.259908	-0.029160	-0.157019	-0.217177	0.430494	-0.071482	0.023130	-0.143870	0.155648	-0.336393	0.151780	0.328040	-0.078866	-0.253515	0.382023	-0.071400	0.136005	-0.134981	-0.063918	-0.215014	-0.266603	-0.226172	-0.268550	-0.064959	-0.263901	0.313171	-0.413346	-0.279257	-0.408015	0.101492	-0.067848	0.186176	-0.285224	-0.261599	-0.075278	-0.179151	0.319373	0.060771	0.038714	-0.052011	-0.064034	0.023102	-0.188654	0.000229	-0.263003	-0.106291	0.274812	0.013665	0.024346	0.053702	0.088437	-0.077736	0.208724	0.013421	-0.293548	0.099452	0.075283	-0.295774	0.117309	-0.300552	0.242063	0.228804	-0.091854	0.110612	0.073484	-0.720508	-0.369917	-0.078203	0.005003	0.450796	-0.085752	-0.228599	0.356645	-0.137211	0.276751	-0.276528
0.270411	0.020148	0.184526	0.529579	-0.299412	0.100198	-0.329621	0.001564	-0.072427	0.148292	0.267004	0.301798	-0.029518	-0.294695	-0.248902	0.225504	0.644555	-0.003188	-0.220630	-0.251461	0.006200	0.165523	-0.234327	0.313870	0.025122	-0.282763	0.046188	-0.269197	-0.325141	0.361786	-0.179291	0.112340	-0.399365	0.013581	-0.456763	0.616095	0.457794	0.499340	-0.316678	-0.005904	-0.180767	-0.475675	0.204733	0.517243	0.044786	0.270105	-0.075454	-0.152372	-0.457959	-0.341468	-0.167912	0.468315	-0.348146	-0.504664	0.150309	-0.323019	0.097186	-0.013860	0.144879	0.308335	0.103124	-0.171684	-0.124319	0.165807	-0.272878	-0.160260	-0.061684	-0.361808	0.202767	-0.202358	-0.117217	-0.307103	-0.583618	0.111398	-0.392780	-0.306189	-0.153683	-0.518562	-0.366375	-0.339824	-0.410467	-0.094529	-0.073263	0.092815	0.080301	0.142239	-0.471269	-0.370662	0.429662	-0.253414	-0.198943	0.090959	-0.248796	-0.135558	0.096758	0.130986	0.116099	0.089033	0.103309	-0.285035	0.248179	-0.355672	-0.340766	0.052149	0.416270	0.371452	-0.203516	-0.024549	0.208269	-0.019390	-0.217900	-0.262913	0.590056	-0.102381	0.093737	0.371388	-0.099666	-0.140871	-0.071185	0.263182	0.546579	0.409436	0.284963	-0.661267	-0.035564	0.239986	0.312111	-0.226334
-0.113932	0.171270	0.033745	0.177168	-0.281230	0.121179	0.094296	0.155816	0.048977	-0.246697	0.041840	0.239148	0.303486	-0.258604	0.039129	0.113185	0.292720	0.215081	-0.175952	-0.005057	0.193669	-0.178373	0.087761	0.035482	0.529932	-0.264701	-0.060295	-0.075705	-0.198898	0.042815	-0.096793	0.143021	0.223610	-0.202669	0.068937	0.022512	0.186543	0.246469	0.005447	0.234418	-0.015717	-0.069753	-0.273410	-0.128082	0.049314	0.014352	0.068782	0.073747	0.094019	-0.375222	0.516117	0.156418	0.167841	-0.052839	-0.154427	-0.095510	-0.161177	-0.046035	-0.176305	0.026784	-0.217021	-0.313075	0.062045	0.278091	0.387656	-0.184025	0.170356	-0.286912	0.159954	-0.120226	0.074728	0.179460	-0.308124	0.137129	0.181847	-0.093838	-0.154753	0.045544	0.084708	0.251344	-0.036165	0.259881	0.054040	0.349221	0.102537	-0.174613	-0.148939	-0.071944	-0.270872	-0.171024	-0.002096	0.316315	-0.104772	-0.013550	0.276938	-0.130186	0.067054	-0.246416	0.120723	0.069318	0.064619	-0.111617	0.083079	0.230584	-0.353633	-0.017826	-0.111398	-0.008713	0.096299	-0.007642	0.027182	0.115305	-0.066719	-0.079622	-0.370693	0.106979	0.078921	-0.490548	0.048845	-0.110488	-0.116290	-0.153422	0.003148	0.028414	-0.046590	0.160798	0.256604	-0.136602
0.116053	-0.173620	-0.086192	0.078651	-0.295870	0.108945	0.186524	0.320195	0.381512	-0.110002	-0.167045	0.494261	0.284972	-0.020954	-0.217952	-0.226937	0.002636	0.081635	-0.039679	0.176644	-0.013117	-0.121386	-0.198802	-0.104722	0.147852	0.151174	0.013709	-0.085341	0.073870	0.134287	-0.237974	0.060090	-0.409977	-0.298685	-0.049667	0.233603	0.094496	0.244095	0.117172	-0.156892	0.051846	-0.139213	0.259475	0.431096	0.194091	-0.036602	-0.004777	0.246062	-0.251879	-0.175296	0.409712	0.483742	0.094225	-0.025428	-0.117247	-0.044064	-0.121240	-0.232189	-0.037985	0.165658	0.123906	-0.208961	-0.136457	-0.050226	0.212068	-0.323619	0.533467	0.232487	0.135145	-0.196779	-0.023708	-0.000263	-0.132512	0.073526	0.149110	-0.236777	-0.484626	-0.300704	-0.341682	-0.137361	-0.020724	-0.019610	0.289095	0.374672	0.177121	0.100358	-0.042542	0.154071	0.092719	-0.102710	0.156015	-0.118991	0.319999	0.229633	-0.036067	0.250252	-0.162855	-0.060960	0.201233	0.150695	0.018757	-0.082376	-0.035644	-0.174974	-0.356467	-0.157618	0.144472	0.005837	0.146993	0.264343	-0.184646	0.057937	-0.088556	0.025583	-0.121758	0.051680	0.190219	0.195937	-0.306183	-0.078109	-0.316211	0.147851	-0.153586	0.060781	0.204656	0.437423	0.022048	0.112807
0.303424	-0.563955	0.373343	0.350492	-0.050344	0.225637	-0.152567	-0.489427	-0.307783	0.261738	-0.078513	0.013357	-0.162392	0.100467	-0.332638	0.225547	0.339553	0.522431	-0.006369	-0.028939	-0.013655	0.118358	-0.532915	-0.201753	0.627850	-0.101736	0.096976	-0.394463	-0.233366	0.094022	-0.289701	0.013113	-0.051523	0.073544	-0.216582	0.389013	0.014730	0.227050	0.199455	0.222757	-0.098814	-0.196108	-0.062824	0.271587	-0.076577	0.338488	-0.306066	-0.193998	-0.480610	0.091728	0.670852	0.337439	-0.394087	-0.163923	0.305839	0.005902	-0.073756	-0.148039	-0.511248	0.349756	-0.340170	0.349116	-0.055216	0.149974	0.233220	-0.072618	0.235539	-0.025821	0.056397	-0.259318	-0.289736	-0.427005	-0.203047	-0.183839	-0.243531	-0.522670	-0.486327	0.168561	-0.546569	-0.011103	-0.464948	-0.023389	0.120247	0.602902	-0.079836	-0.051615	-0.282460	0.003750	-0.214207	0.173328	0.202061	0.290161	-0.111890	-0.000426	-0.150000	-0.296344	0.305946	0.019935	0.071302	-0.197376	0.138988	-0.001535	-0.016146	0.171800	-0.130798	-0.027640	-0.413158	-0.115766	0.465895	0.004886	0.119866	-0.475097	0.194188	-0.125762	0.069352	-0.037255	0.046966	-0.150437	0.396607	0.026278	0.361253	0.214687	0.373111	-0.442913	0.081292	0.220114	0.027778	0.166651
