disease_id,Mesh_name
206,Neoplasms
207,Nephrogenic Fibrosing Dermopathy
208,Nephrosis
209,"Neuralgia, Postherpetic"
210,Neurilemmoma
211,Neuroblastoma
212,Neurodegenerative Diseases
213,Neuroendocrine Tumors
214,Neurofibromatoses
215,Neuroinflammatory Diseases
216,"Neuroma, Acoustic"
217,Niemann-Pick Diseases
218,Non-alcoholic Fatty Liver Disease
219,Noonan Syndrome
220,Obesity
221,Osteoarthritis
222,Osteosarcoma
223,Ovarian Neoplasms
224,Pancreatic Neoplasms
225,Pancreatitis
226,Papilloma
227,"Paraparesis, Tropical Spastic"
228,Paraplegia
229,Parkinson Disease
230,Peutz-Jeghers Syndrome
231,Pheochromocytoma
232,Pituitary Neoplasms
233,Placental Insufficiency
234,"Polycythemia, primary familial and congenital"
235,Pre-Eclampsia
236,Precursor Cell Lymphoblastic Leukemia-Lymphoma
237,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
238,Prolactinoma
239,Prostatic Neoplasms
240,"Prostatic Neoplasms, Castration-Resistant"
241,Psoriasis
242,Pterygium
243,Pulmonary Arterial Hypertension
244,Pulmonary Aspergillosis
245,"Pulmonary Disease, Chronic Obstructive"
246,Pulmonary Emphysema
247,"Renal Insufficiency, Chronic"
248,Reperfusion Injury
249,Retinitis Pigmentosa
250,Retinoblastoma
251,Rett Syndrome
252,Rhabdomyosarcoma
253,Riddle Syndrome
254,"Sarcoma, Ewing"
255,"Sarcoma, Kaposi"
256,"Sarcoma, Synovial"
257,Schizophrenia
258,"Scleroderma, Localized"
259,"Scleroderma, Systemic"
260,Sepsis
261,Shwachman-Diamond Syndrome
262,Sjogren's Syndrome
263,Skin Neoplasms
264,Sleep Wake Disorders
265,Small Cell Lung Carcinoma
266,Spinocerebellar Ataxias
267,Squamous Cell Carcinoma of Head and Neck
268,Status Epilepticus
269,Stomach Neoplasms
270,Stroke
271,"Supranuclear Palsy, Progressive"
272,Synucleinopathies
273,"Tachycardia, Ventricular"
274,Testicular Neoplasms
275,Tetralogy of Fallot
276,Thrombocytopenia
277,Thrombosis
278,Thymoma
279,"Thyroid Cancer, Papillary"
280,"Thyroid Carcinoma, Anaplastic"
281,Thyroid Neoplasms
282,Triple Negative Breast Neoplasms
283,Tuberous Sclerosis
284,Urethral Neoplasms
285,Urinary Bladder Neoplasms
286,Uterine Cervical Neoplasms
287,Uterine Neoplasms
288,Uveal Melanoma
289,Ventricular Remodeling
290,Vulvar Neoplasms
291,Wilms Tumor
292,Xeroderma Pigmentosum
